Gene	C2	C7	C3	C5	C12	C13	C14	C11	C4	C8	C6	C10	C9	C1
Gltscr2	0.7394878127572017	0.7521835154639175	0.9585386147540983	0.857462606870229	0.8445895	1.0473573725490195	1.0656687898550725	1.1843536589595376	1.1983372744014733	1.3518195027027027	1.3299545451388888	1.3510343928571429	1.3838906609589041	1.1973468461538463
Gm13154	0.0017408045267489711	0.0	0.0015901844262295082	0.005374923664122138	0.0	0.0	0.0	0.004029121387283238	0.0	0.00809828918918919	0.011952128472222222	0.004544719387755102	0.18705155479452054	0.954873901098901
Gm14005	0.7531023724279835	0.6944434793814434	0.4468197131147541	0.5048916335877863	0.3498972166666666	0.7202285049019608	0.4868607898550725	0.6282893757225434	0.6572707108655617	0.4167037621621622	0.2651106458333333	0.316710862244898	0.04968806849315068	0.044713142857142854
Gm15421	0.19259324279835394	0.21712408762886598	0.299786356557377	0.3117975267175572	0.23565188333333334	0.38410646078431376	0.5880397753623189	0.6375305722543353	0.7047042836095764	0.5758871108108108	0.4134795451388889	0.8070397653061224	0.3748785376712329	0.40557888278388277
Gm1821	0.5826452777777779	0.5403162886597938	0.647835006147541	0.5485558702290076	0.751230825	0.9689700686274509	1.595082347826087	1.113008647398844	1.2929029134438306	0.5886269891891892	0.44167363541666665	1.2891034387755103	0.5538807020547944	0.9970152124542125
Gm2115	0.8671084609053498	0.9253670773195876	0.25902169467213115	0.06749195419847327	0.28279496249999997	0.2100625588235294	0.03695171739130435	0.13582575722543352	0.0909629650092081	0.0423267	0.003137819444444445	0.053326852040816324	0.0	0.0
Gm4737	0.14508416666666665	0.23937220103092782	0.2671978258196721	0.6292711984732825	0.1525453125	0.11820961274509804	0.12874086956521738	0.18288695375722544	0.12691217127071822	0.2854448675675676	0.4831063506944444	0.42230753571428575	0.35506897260273973	0.8591368278388278
Gm6402	0.9248618189300412	0.8894226546391754	1.167255975409836	1.1431229122137405	1.2192695541666665	1.3678138431372548	2.189206760869565	1.555435520231214	1.8973572909760588	1.5462801108108108	1.3949242222222222	2.261090668367347	1.6097575273972602	1.545303413919414
Gm7325	0.0	0.0	0.0	0.002479431297709924	0.0	0.0	0.0	0.0	0.0	0.0026506	0.0	0.012349346938775511	0.1237408904109589	0.8315961538461538
Gmnn	0.24877368930041155	0.7500934381443298	0.6354049651639344	0.761236	0.15674251250000001	0.04937291176470589	0.1734168695652174	0.06661138150289017	0.0757571473296501	0.4035063513513513	0.9765216701388889	0.8676662602040817	1.1739273287671235	1.313191750915751
Gna14	0.0	0.007816226804123711	0.0423505512295082	0.1477274351145038	0.015873579166666665	0.21227107843137255	0.23992428985507247	0.5511986763005781	0.39301618600368327	0.3361948324324324	0.24861064583333337	0.2886218469387755	0.05727302739726028	0.3933896336996337
Gnai2	2.5322228847736623	2.412048886597938	2.3979374221311476	2.117928072519084	2.577747758333333	2.8256833088235296	2.3973405579710145	2.7035661849710984	2.5779588416206263	2.3610408756756756	1.9937986145833335	2.190330209183674	2.085989366438356	1.833072772893773
Gnaq	0.8062064176954733	0.946366206185567	0.9105735471311476	1.016031896946565	0.46356186666666666	1.1083813774509803	0.6536473550724637	1.6823150173410406	1.4253460865561696	0.7430595864864865	0.6694504652777779	0.7864655867346939	0.22663847945205481	0.41567333699633696
Gnas	4.518759290123456	4.361537309278351	4.092041690573771	4.067184419847328	3.9285332125	4.485394406862745	4.1589723478260865	4.837609809248555	4.308192661141804	3.994303908108108	3.350921135416667	3.617527897959184	2.5288096780821916	2.2884328864468864
Gnb2l1	4.70428737654321	4.360881721649484	5.204232002049181	4.2773847061068695	5.635221604166667	4.9338986470588235	6.586353311594203	5.293115208092486	5.824029988950277	6.024359197297297	5.3117105972222225	6.325213061224489	5.794960136986301	4.9580511282051285
Gnb4	0.8599339382716049	0.8363503711340206	0.2693127520491803	0.2979746030534351	0.1828041625	0.2783170147058824	0.08846606521739131	0.10260521387283238	0.06844406998158378	0.13719146216216216	0.0863567048611111	0.08342563775510203	0.05376361301369863	0.1997742673992674
Gng12	1.7869648209876545	1.9167111494845361	1.8331623606557377	1.9126698129770991	1.3682837708333333	1.4750131176470587	1.0365964420289855	1.9767993815028901	1.7125057311233887	1.3561313108108108	1.4686074166666667	1.6932060969387757	0.7303796746575342	0.24412247252747254
Gng3	0.0015063683127572018	0.0	0.003822448770491803	0.013379515267175573	0.003928545833333333	0.0	0.0	0.004700398843930636	0.002712668508287293	0.04851083243243243	0.04593204513888889	0.02248611224489796	0.2755549657534247	1.046206054945055
